_d4399 		September +... 
_d4472 		it's finished cooking .
_d4472 		we're eating it now , there's some right here . 
_d4472 		yu:m . 
_d4472 		stethoscope , Daddy was looking for his stethoscope .
_d4473 		he was wearing it around his neck but that wasn't the one he wanted . 
_d4473 		he wanted a different one . 
_d4473 		stethoscope . 
_d4473 		awhile ago ? 
_d4473 		this week ? 
_d4473 		and she used it to do this to you . 
_d4473 		to listen . 
_d4473 		she was listening , stethoscope is something you use for listening . 
_d4473 		what ? 
_d4473 		Daddy was wearing one , mmmm+hmmm . 
_d4473 		he wanted a different one . 
_d4473 		people use stethoscopes at the same time +... 
_d4473 		when they use blood+pressure cuffs too . 
_d4473 		Daddy uses a blood+pressure cuff sometimes , and a stethoscope sometimes . 
_d4473 		eating breakfast . 
_d4473 		I'm eating breakfast .
_d4474 		I'm eating french toast ! 
_d4474 		are you +//.
_d4474 		mmmm .
_d4474 		I put butter on my french toast . 
_d4474 		mmmm+hmmm , a little bit .
_d4474 		it's not egg it's butter . 
_d4474 		do you want egg cause [: because] I will make you a scrambled egg if you would like an egg . 
_d4474 		usually when we make scrambled eggs +...
_d4474 		we do have_to blow on it .
_d4474 		well , Daddy's gone now . 
_d4474 		so , if I make you scrambled eggs I will blow on em [: them] . 
_d4474 		but do you really want scrambled eggs ? 
_d4474 		Mommy was asking Naima something . 
_d4474 		do you want scrambled eggs ? 
_d4474 		Naima's [: Naima is] wiggling . 
_d4474 		I think you're done with yer [: your] breakfast . 
_d4474 		I am +... 
_d4474 		yes I was cutting the kamut with a knife .
_d4474 		that's a big piece you'll need to chew it well .
_d4474 		mmmm+hmmm .
_d4474 		Daddy went away .
_d4475 		xxx went away ,  went home . 
_d4475 		yesterday . 
_d4475 		xxx went home to take care of her daughter  . 
_d4475 		Daddy went to the hospital . 
_d4475 		he drove to the hospital . 
_d4475 		yeah there's a cafeteria there .
_d4475 		cafeteria is like a restaurant . 
_d4475 		with food in it , mmmm+hmmm . 
_d4475 		people buy food in a cafeteria , just like +... 
_d4475 		people buy food at a restaurant . 
_d4475 		the hospital has a cafeteria in it . 
_d4476 		yes there's food in the cafeteria at the hospital . 
_d4476 		Mommy's eating french+toast_a . 
_d4476 		oh you had cheese at the cafeteria .
_d4476 		boy , that was three weeks ago . 
_d4476 		you remember a lot of things . 
_d4476 		yes you had cheese and you had juice . 
_d4476 		um yes , Daddy was eating a sandwich and Mommy was eating a sandwich , that day .
_d4476 		that was awhile ago Naima . 
_d4476 		&aw . 
_d4476 		you spit something out . 
_d4476 		you spit out the kamut , are you done eating ? 
_d4476 		more french toast , sure .
_d4476 		here .
_d4476 		here's more there too . 
_d4476 		Mommy gave you more french toast , see . 
_d4476 		what ? 
_d4476 		eating cheese at the restaurant ? 
_d4476 		you mean the cafeteria ? 
_d4476 		cafeteria is like a restaurant , that's right . 
_d4476 		yep [: yes] people buy food in it . 
_d4476 		mmmm+hmmm .
_d4476 		Daddy bought food at the cafeteria .
_d4476 		what ? 
_d4476 		wheat ?
_d4476 		who ate cheese at the cafeteria ?
_d4476 		mmmm+hmmm , Naima . 
_d4476 		eat juice too ? 
_d4476 		you mean you drank juice . 
_d4476 		Naima drank juice at the cafeteria . 
_d4476 		you have the spoon . 
_d4476 		oh with a spoon , yes . 
_d4476 		you're cutting it with a spoon , it's hard to cut it with a spoon . 
_d4476 		here . 
_d4476 		Mommy will cut it into sma:ll pieces . 
_d4476 		the:re . 
_d4476 		cut that one ? 
_d4476 		even smaller ? 
_d4476 		there . 
_d4476 		gonna eat that now ?
_d4476 		are you eating with yer [: your] fingers ? 
_d4476 		oh I think you did see petunias when you were in the cafeteria .
_d4477 		mmmm+hmmm . 
_d4477 		flowers  ?
_d4477 		yeah . 
_d4477 		petunias . 
_d4477 		were there steers there ? 
_d4477 		at the hospital ? 
_d4477 		I remember you walked up some stairs at the hospital . 
_d4477 		eating . 
_d4477 		Naima's [: Naima is] finishing eating . 
_d4477 		have a little more french+toast_a , or have some of your juice , looks like you have some yummy juice there . 
_d4477 		what is in yer [: your] sippy+cup ?
_d4477 		what +//?
_d4477 		o:h .
_d4478 		Mommy finishing +... 
_d4478 		is finishing eating .
_d4478 		xxx .
_d4478 		you ate yer [: your] breakfast . 
_d4478 		you ate yer [: your] breakfast . 
_d4478 		are ya [: you] still hungry ? 
_d4478 		what else did you eat for breakfast ? 
_d4478 		yes you had kamut a:nd +...
_d4478 		and apple+sauce , and +...
_d4478 		what else ?
_d4478 		and french toast !
_d4478 		and what else ? 
_d4478 		almond+butter ? 
_d4478 		kamut . 
_d4478 		and almond+butter and apple+butter . 
_d4478 		and , juice ! 
_d4478 		what a good breakfast . 
_d4478 		you want more apple+sauce ?
_d4478 		lemme [: let me] see if we have anymore .
_d4479 		oh are you done with it , okay . 
_d4479 		cleaning up . 
_d4479 		making a mess . 
_d4479 		Mommy is cleaning up .
_d4479 		eat what ? 
_d4479 		breakfa:st !
_d4479 		yes we just ate breakfast . 
_d4479 		that's what we did .
_d4479 		we were eating breakfast together . 
_d4479 		Mommy was eating +//.
_d4479 		shopping ? 
_d4479 		that's a joke right ?
_d4479 		Mommy doesn't eat shopping ! 
_d4479 		Mommy ate breakfa:st , Naima +//. 
_d4479 		we didn't eat breakfast at a restaurant ! 
_d4479 		no we ate breakfast at home . 
_d4479 		we ate breakfast at home today . 
_d4479 		cleaning up . 
_d4479 		oh what're [: what are] you doing .
_d4479 		I think you're trying to be mischievous . 
_d4479 		are you being mischievous ? 
_d4479 		you're not ?
_d4479 		oh . 
_d4479 		yeah , I don't really like it when you throw things on the floor .
_d4479 		where dyou [: do you] think it is ? 
_d4479 		yeah , there .
_d4479 		well , I will get it , but not immediately . 
_d4479 		o:h it looks like you've been throwing a lot of things .
_d4479 		oh yeah , there's the chestnut that you and Daddy +...
_d4480 		were playing with . 
_d4480 		oh come on . 
_d4480 		can you +//.
_d4480 		ya [: you] wanna clean yer [: your] own face ? 
_d4480 		you do it , you clean yer [: your] face . 
_d4480 		alright , you +//.
_d4480 		okay clean the tray .
_d4481 		you're finished , okay . 
_d4481 		you're finished cleaning the tray ? 
_d4481 		should I take that and put it in the garbage ? 
_d4481 		kay [: okay] . 
_d4481 		you're cleaning +//.
_d4481 		you're still cleaning ?
_d4481 		I thought you said you were finished cleaning . 
_d4481 		okay . 
_d4481 		clean again ?
_d4482 		they're on the same cd but boom shaka laka laka is the (.) my feet song . 
_d4482 		boom shaka laka laka boom shaka laka laka laka .
_d4482 		that's a good song . 
_d4482 		come in the mountain ?
_d4482 		oh comin(g) (a)round the mountain ! 
_d4482 		she'll be +//.
_d4482 		that one ? 
_d4482 		comin(g) (a)round the mountain when she comes . 
_d4482 		toot toot , that's right .
_d4482 		she'll be comin(g) (a)round the mountain when she comes , toot toot ! 
_d4482 		she'll be comin(g) (a)round the mountain , she'll be comin(g) (a)round the mountain . 
_d4482 		she'll be +...
_d4482 		comin(g) (a)round the mountain when she comes , toot toot ! 
_d4482 		how does that go , what're [: what are] the words to little Liza Jane , do you know them ? 
_d4482 		ashay ashay , right !
_d4482 		those are words to little Liza Jane . 
_d4482 		ashay ashay . 
_d4482 		I know a girl that you don't know .
_d4482 		little Liza Jane . 
_d4482 		way down south in Baltimore . 
_d4482 		little Liza Jane .
_d4482 		okay .
_d4482 		o:h Eliza +//.
_d4482 		that paper towel is broken .
_d4482 		alright .
_d4482 		clean the tray .
_d4482 		oh Eliza . 
_d4482 		oh ! 
_d4482 		oh ! 
_d4482 		oh . 
_d4482 		what is that ?
_d4482 		tell me what it is . 
_d4482 		what is in yer [: your] hand ? 
_d4482 		paper towel ? 
_d4482 		thank you . 
_d4482 		alright . 
_d4482 		what're [: what are] we gonna play with this morning ? 
_d4482 		okay .
_d4482 		what +//.
_d4482 		what're [: what are] we gonna play with +//.
_d4482 		what're [: what are] we gonna do with the legos ? 
_d4482 		okay . 
_d4482 		let's make a tower . 
_d4482 		let's make stairs with the legos .
_d4482 		with a railing , that's very hard to do but we can . 
_d4482 		we can try . 
_d4482 		Mommy's gonna take Naima out of the chair . 
_d4482 		Mommy's putting away all the food from breakfast .
_d4483 		what's Naima doing ? 
_d4483 		yes .
_d4483 		microphone off ? 
_d4483 		I was just rearranging it actually .
_d4483 		oh let's leave it on for a little bit .
_d4483 		are we gonna make stairs for the +//.
_d4483 		for the friends , for your friends to go down ?
_d4484 		o:h . 
_d4484 		Mommy's taking Naima out of the high+chair . 
_d4484 		where are the legos ? 
_d4484 		okay . 
_d4484 		you took yours off , right . 
_d4484 		mine off . 
_d4484 		oh you mean you want me to take mine off , I see . 
_d4484 		we're gonna have_to +//. 
_d4484 		oh Eliza +... 
_d4484 		you wanna draw for a little bit ? 
_d4484 		want me to get the crayons ? 
_d4484 		we could draw for a little bit .
_d4484 		let's get a clean piece of paper .
_d4484 		the:re . 
_d4484 		ooh very nice .
_d4484 		that looks nice .
_d4484 		ya [: you] want me to write minimum ? 
_d4484 		why do you always want me to write minimum , that's how we start +... 
_d4484 		whenever we play with crayons . 
_d4484 		okay , I don't mind . 
_d4484 		m .
_d4484 		can you +//.
_d4485 		no you know what we're not gonna throw the crayons , can you please bring that crayon back here ? 
_d4485 		bring it back . 
_d4485 		okay . 
_d4485 		yeah that says minimum . 
_d4485 		you want me to spell something else ?
_d4485 		okay I'll spell Liza .
_d4485 		here . 
_d4485 		where are you gonna sit ? 
_d4485 		I wanna spell it so you can read it .
_d4486 		this is an e . 
_d4486 		letter e is right there . 
_d4486 		you know the word foot has two e's . 
_d4486 		f e e +... 
_d4486 		t .
_d4486 		feet . 
_d4486 		and the word foot has two o's . 
_d4486 		f o o t . 
_d4486 		feet and foot .
_d4486 		that's the o . 
_d4486 		this is an o and o is just a circle . 
_d4486 		you want letter c ? 
_d4486 		that's paper , which is making a lot of noise . 
_d4486 		xxx .
_d4486 		let's turn the page . 
_d4486 		okay , okay . 
_d4486 		okay let me have the paper . 
_d4486 		what dyou [: do you] wanna draw ? 
_d4486 		letter O ? 
_d4486 		here's a letter o .
_d4486 		there's T .
_d4486 		like hot , h o t spells hot .
_d4486 		look . 
_d4486 		o:h .
_d4486 		you are drawing nice circle there . 
_d4486 		h .
_d4486 		o .
_d4486 		t .
_d4486 		spells hot . 
_d4486 		okay .
_d4486 		h . 
_d4486 		o .
_d4486 		t , hot . 
_d4486 		that's the T . 
_d4486 		yeah it's a circle but it's also letter o .
_d4486 		xxx letter h . 
_d4486 		letter o .
_d4486 		letter t .
_d4486 		letter h .
_d4486 		yeah that spells hot .
_d4486 		xxx we can spell not .
_d4487 		n o t spells not . 
_d4487 		n o t not . 
_d4487 		not , hot , hot . 
_d4487 		mmmm . 
_d4487 		mmmm you're drawing nicely . 
_d4487 		you're drawing circles ?
_d4487 		great , ye:s !
_d4487 		you are doing a good job drawing circles .
_d4487 		that's a circle .
_d4487 		that's an o .
_d4488 		kay [: okay] , which color . 
_d4488 		purple .
_d4488 		xxx . 
_d4488 		okay , let's draw circles . 
_d4488 		yeah that's broken you know what , we can draw at the other end if I peel back the paper though .
_d4488 		Mommy's taking the paper off of this end so we can draw at both ends . 
_d4488 		peel , I was peeling the paper .
_d4488 		I'm gonna write Naima . 
_d4488 		n . 
_d4488 		m .
_d4488 		that's a piece of crayon , why don't you give that to me cause [: because] it's too small . 
_d4488 		well I don't think we can fix it so easily why don't you just give it to me , there . 
_d4488 		mmmm .
_d4488 		mmmm+hmmm . 
_d4488 		what am I drawing now ? 
_d4488 		what's this ? 
_d4488 		what are these ? 
_d4488 		shapes . 
_d4488 		you know what that is . 
_d4488 		yeah . 
_d4488 		one square ? 
_d4488 		many squares .
_d4488 		looks like you were drawing a circle just now . 
_d4488 		yeah that's the color purple . 
_d4488 		what color are the squares ? 
_d4488 		yeah .
_d4488 		that looks like Naima was drawing a red circle .
_d4488 		I think that's +//.
_d4488 		well it's a red line , I think you were trying to draw a circle . 
_d4488 		a blue square . 
_d4488 		another blue square . 
_d4488 		another blue square ! 
_d4488 		what +//.
_d4488 		what other shape do you know ?
_d4488 		we know squares , we know circles , and what else ? 
_d4488 		xxx square .
_d4488 		what's this ? 
_d4488 		what's that ?
_d4489 		oops , lost the microphone . 
_d4489 		you want me to write up ? 
_d4489 		what has three sides ? 
_d4489 		what's this ?
_d4489 		Naima . 
_d4489 		what's this ? 
_d4489 		what's that ? 
_d4489 		what's that ? 
_d4489 		dyou [: do you] know what it is ?
_d4489 		it's a purple .
_d4490 		it's a purple triangle . 
_d4490 		yeah .
_d4490 		that's the green crayon , dyou [: do you] wanna go get the green crayon for me ? 
_d4490 		dyou [: do you] want yer [: your] potty ? 
_d4490 		dya [: do you] wanna sit on the potty ? 
_d4490 		giving me the crayons okay .
_d4490 		to write .
_d4490 		that's a purple and green triangle .
_d4490 		this ? 
_d4490 		blue square . 
_d4490 		I'm gonna make a +//.
_d4490 		xxx .
_d4490 		that's a +...
_d4490 		blue line . 
_d4490 		that's a triangle .
_d4490 		xxx crayon is broken . 
_d4490 		xxx .
_d4490 		yeah it's  .
_d4490 		Mommy's drawing . 
_d4490 		xxx . 
_d4490 		Naima's [: Naima is] drawing . 
_d4490 		that's a circle with a triangle inside . 
_d4490 		mmmm .
